STITCH_CID,CID
CID000134018,134018
CID000134019,134019
CID000134780,134780
CID000135113,135113
CID000145068,145068
CID000147740,147740
CID000468595,468595
CID000148121,148121
CID003036505,3036505
CID006918289,6918289
CID024847874,24847874
CID000148192,148192
CID000148211,148211
CID006337614,6337614
CID000443872,443872
CID024847741,24847741
CID000150311,150311
CID000150610,150610
CID000151075,151075
CID000151165,151165
CID006918365,6918365
CID000151171,151171
CID000152945,152945
CID006918296,6918296
CID000153941,153941
CID000153994,153994
CID000154058,154058
CID000154256,154256
CID000163091,163091
CID003036780,3036780
CID000156418,156418
CID000449677,449677
CID000157688,157688
CID000157920,157920
CID000157921,157921
CID000158781,158781
CID000158786,158786
CID000159247,159247
CID006918193,6918193
CID000160051,160051
CID000160352,160352
CID000163296,163296
CID000166548,166548
CID000168625,168625
CID000168924,168924
CID000170361,170361
CID000171558,171558
CID000176870,176870
CID000179344,179344
CID000185457,185457
CID000192155,192155
CID000193962,193962
CID000197281,197281
CID006918204,6918204
CID000197712,197712
CID006918493,6918493
CID000206527,206527
CID000208898,208898
CID000208902,208902
CID000208908,208908
CID009960701,9960701
CID009578572,9578572
CID000213039,213039
CID000213046,213046
CID003003141,3003141
CID005493444,5493444
CID000216210,216210
CID000216235,216235
CID000216237,216237
CID000216239,216239
CID000216258,216258
CID000216326,216326
CID000216416,216416
CID000219024,219024
CID022451303,22451303
CID000219078,219078
CID000450096,450096
CID000219090,219090
CID000222786,222786
CID000445226,445226
CID000450503,450503
CID000358641,358641
CID005281075,5281075
CID005281099,5281099
CID005462501,5462501
CID000444006,444006
CID006437877,6437877
CID000444013,444013
CID006918155,6918155
CID000449193,449193
CID000455658,455658
CID000477468,477468
CID006602291,6602291
CID003002977,3002977
CID000489181,489181
CID000517045,517045
CID000644241,644241
CID005312125,5312125
CID005388906,5388906
CID000657298,657298
CID000667490,667490
CID001349907,1349907
CID002723601,2723601
CID002761171,2761171
CID006451164,6451164
CID003010818,3010818
CID003038497,3038497
CID003052762,3052762
CID006509979,6509979
CID024847863,24847863
CID003062316,3062316
CID003080904,3080904
CID056841124,56841124
CID003081361,3081361
CID045267081,45267081
CID003081884,3081884
CID003085017,3085017
CID003086257,3086257
CID006450551,6450551
CID005329102,5329102
CID005289223,5289223
CID004369359,4369359
CID005288169,5288169
CID005281107,5281107
CID005460193,5460193
CID004517618,4517618
CID005311000,5311000
CID005281081,5281081
CID004659569,4659569
CID005001396,5001396
CID006918537,6918537
CID005273759,5273759
CID005277135,5277135
CID005353562,5353562
CID005310993,5310993
CID005311167,5311167
CID005327147,5327147
CID005328940,5328940
CID005353894,5353894
CID005359476,5359476
CID005384001,5384001
CID005359596,5359596
CID005360237,5360237
CID006323490,6323490
CID005361917,5361917
CID005362070,5362070
CID005362420,5362420
CID005381226,5381226
CID005458213,5458213
CID005462337,5462337
CID006003770,6003770
CID005464096,5464096
CID011672602,11672602
CID005487068,5487068
CID005487301,5487301
CID006918250,6918250
CID005488547,5488547
CID005493381,5493381
CID009916860,9916860
CID006323497,6323497
CID006326970,6326970
CID006328144,6328144
CID006328526,6328526
CID053320414,53320414
CID006918453,6918453
CID006915944,6915944
CID006433082,6433082
CID009838021,9838021
CID009868491,9868491
CID006918554,6918554
CID009875401,9875401
CID006435110,6435110
CID006437075,6437075
CID010034073,10034073
CID006442177,6442177
CID006445540,6445540
CID006452749,6452749
CID006453361,6453361
CID006480466,6480466
CID006850789,6850789
CID006850791,6850791
CID006918182,6918182
CID006918313,6918313
CID006918366,6918366
CID012993649,12993649
CID006918456,6918456
CID045487623,45487623
CID006918558,6918558
CID006918584,6918584
CID006918638,6918638
CID006918670,6918670
CID010220503,10220503
CID011504294,11504294
CID009852981,9852981
CID009854073,9854073
CID025244225,25244225
CID009815560,9815560
CID009926791,9926791
CID009825285,9825285
CID009831414,9831414
CID009831761,9831761
CID009831783,9831783
CID025181561,25181561
CID009853053,9853053
CID009854489,9854489
CID009865528,9865528
CID009869929,9869929
CID009871419,9871419
CID009887712,9887712
CID009898619,9898619
CID011561674,11561674
CID009924495,9924495
CID009930048,9930048
CID009940864,9940864
CID070683023,70683023
CID009966051,9966051
CID010077129,10077129
CID010096344,10096344
CID015950376,15950376
CID010113978,10113978
CID010184653,10184653
CID010178705,10178705
CID010182969,10182969
CID010324367,10324367
CID011658859,11658859
CID010482134,10482134
CID011001318,11001318
CID011020241,11020241
CID011450633,11450633
CID011167602,11167602
CID011467166,11467166
CID011234049,11234049
CID011243969,11243969
CID011238823,11238823
CID011254352,11254352
CID011304743,11304743
CID011499245,11499245
CID011501341,11501341
CID011505907,11505907
CID011519069,11519069
CID023652731,23652731
CID011556711,11556711
CID011593706,11593706
CID011626560,11626560
CID011597697,11597697
CID011672461,11672461
CID011707110,11707110
CID017754356,17754356
CID011947681,11947681
CID011949646,11949646
CID011979316,11979316
CID013559281,13559281
CID015951529,15951529
CID016004692,16004692
CID024873435,24873435
CID024821094,24821094
CID016129616,16129616
CID016129674,16129674
CID016133802,16133802
CID016129629,16129629
CID016129688,16129688
CID016136912,16136912
CID016129665,16129665
CID016129672,16129672
CID016129682,16129682
CID016129690,16129690
CID016131923,16131923
CID016129703,16129703
CID016129704,16129704
CID016130199,16130199
CID016130295,16130295
CID016130965,16130965
CID016131215,16131215
CID016131310,16131310
CID016132265,16132265
CID016132283,16132283
CID016132344,16132344
CID016132418,16132418
CID016132438,16132438
CID016132441,16132441
CID016132446,16132446
CID016134956,16134956
CID016136245,16136245
CID016137271,16137271
CID016139342,16139342
CID070683012,70683012
CID016157882,16157882
CID070685014,70685014
CID071306891,71306891
CID016213095,16213095
CID016220172,16220172
CID025126797,25126797
CID019371515,19371515
CID025081014,25081014
CID023668479,23668479
CID023689036,23689036
CID023690938,23690938
CID071306410,71306410
CID024776445,24776445
