old_CID,STITCH_CID,CID,pub_chem_CID
CID100002754,CID000002754,2754,100002754
CID100002756,CID000002756,2756,100002756
CID100002762,CID000002762,2762,100002762
CID100002764,CID000002764,2764,100002764
CID100002767,CID000002767,2767,100002767
CID100002771,CID000002771,2771,100002771
CID100002771,CID000146570,146570,100002771
CID100002781,CID000026986,26986,100002781
CID100002786,CID000029029,29029,100002786
CID100002789,CID000002789,2789,100002789
CID100002791,CID000032798,32798,100002791
CID100002792,CID000071386,71386,100002792
CID100002794,CID000002794,2794,100002794
CID100002800,CID001548952,1548952,100002800
CID100002800,CID001548954,1548954,100002800
CID100002801,CID000002801,2801,100002801
CID100002802,CID000002802,2802,100002802
CID100002803,CID000002803,2803,100002803
CID100002806,CID000060606,60606,100002806
CID100002809,CID000002809,2809,100002809
CID100002812,CID000002812,2812,100002812
CID100002818,CID000002818,2818,100002818
CID100002826,CID000446220,446220,100002826
CID100002828,CID005284371,5284371,100002828
CID100002833,CID000006167,6167,100002833
CID100002881,CID000002881,2881,100002881
CID100002883,CID000688020,688020,100002883
CID100002891,CID005311498,5311498,100002891
CID100002895,CID000002895,2895,100002895
CID100002905,CID000002905,2905,100002905
CID100002907,CID000002907,2907,100002907
CID100002909,CID005280754,5280754,100002909
CID100002913,CID000002913,2913,100002913
CID100002914,CID000009880,9880,100002914
CID100002949,CID000028417,28417,100002949
CID100002951,CID006604100,6604100,100002951
CID100002955,CID000002955,2955,100002955
CID100002958,CID000030323,30323,100002958
CID100002972,CID000002972,2972,100002972
CID100002973,CID000002973,2973,100002973
CID100002978,CID000016078,16078,100002978
CID100002995,CID000002995,2995,100002995
CID100003000,CID000009793,9793,100003000
CID100003000,CID005311067,5311067,100003000
CID100003003,CID000005743,5743,100003003
CID100003003,CID000009782,9782,100003003
CID100003007,CID000003007,3007,100003007
CID100003007,CID000005825,5825,100003007
CID100003008,CID005360696,5360696,100003008
CID100003009,CID000003009,3009,100003009
CID100003015,CID005284537,5284537,100003015
CID100003016,CID000003016,3016,100003016
CID100003019,CID000003019,3019,100003019
CID100003032,CID000003032,3032,100003032
CID100003038,CID000003038,3038,100003038
CID100003040,CID000018381,18381,100003040
CID100003042,CID000003042,3042,100003042
CID100003043,CID000003043,3043,100003043
CID100003043,CID000050599,50599,100003043
CID100003053,CID000003053,3053,100003053
CID100003056,CID000071414,71414,100003056
CID100003059,CID000003059,3059,100003059
CID100003060,CID000443936,443936,100003060
CID100003062,CID002724385,2724385,100003062
CID100003063,CID005284543,5284543,100003063
CID100003066,CID000010531,10531,100003066
CID100003075,CID000039186,39186,100003075
CID100003080,CID000003080,3080,100003080
CID100003100,CID000003100,3100,100003100
CID100003105,CID000003105,3105,100003105
CID100003108,CID000003108,3108,100003108
CID100003114,CID000003114,3114,100003114
CID100003117,CID000003117,3117,100003117
CID100003121,CID000003121,3121,100003121
CID100003125,CID000441350,441350,100003125
CID100003143,CID000064780,64780,100003143
CID100003143,CID000148123,148123,100003143
CID100003148,CID014476155,14476155,100003148
CID100003151,CID000003151,3151,100003151
CID100003152,CID000003152,3152,100003152
CID100003154,CID000003154,3154,100003154
CID100003154,CID005284549,5284549,100003154
CID100003155,CID005282425,5282425,100003155
CID100003156,CID000003156,3156,100003156
CID100003157,CID000003157,3157,100003157
CID100003158,CID000003158,3158,100003158
CID100003158,CID000667477,667477,100003158
CID100003168,CID000003168,3168,100003168
CID100003171,CID000092974,92974,100003171
CID100003182,CID000003182,3182,100003182
CID100003198,CID000003198,3198,100003198
CID100003199,CID000108150,108150,100003199
CID100003202,CID000003202,3202,100003202
CID100003203,CID000064139,64139,100003203
CID100003209,CID000446284,446284,100003209
CID100003219,CID000003219,3219,100003219
CID100003222,CID005388961,5388961,100003222
CID100003226,CID000003226,3226,100003226
CID100003241,CID000003241,3241,100003241
CID100003249,CID005280793,5280793,100003249
CID100003250,CID000443884,443884,100003250
CID100003251,CID000008223,8223,100003251
CID100003255,CID000008233,8233,100003255
CID100003255,CID000012560,12560,100003255
CID100003256,CID000443953,443953,100003256
CID100003261,CID000003261,3261,100003261
CID100003263,CID000009403,9403,100003263
CID100003267,CID000013791,13791,100003267
CID100003268,CID000040291,40291,100003268
CID100003268,CID000259329,259329,100003268
CID100003269,CID000005756,5756,100003269
CID100003278,CID000003278,3278,100003278
CID100003279,CID000003279,3279,100003279
CID100003279,CID000014051,14051,100003279
CID100003291,CID000003291,3291,100003291
CID100003292,CID000003292,3292,100003292
CID100003305,CID000003305,3305,100003305
CID100003308,CID000003308,3308,100003308
CID100003310,CID000036462,36462,100003310
CID100003324,CID000003324,3324,100003324
CID100003325,CID005702160,5702160,100003325
CID100003331,CID000003331,3331,100003331
CID100003333,CID000003333,3333,100003333
CID100003339,CID000003339,3339,100003339
CID100003340,CID000003340,3340,100003340
CID100003342,CID000003342,3342,100003342
CID100003345,CID000003345,3345,100003345
CID100003348,CID000003348,3348,100003348
CID100003350,CID000057363,57363,100003350
CID100003354,CID000003354,3354,100003354
CID100003355,CID000003355,3355,100003355
CID100003363,CID000005790,5790,100003363
CID100003364,CID000003364,3364,100003364
CID100003364,CID000021319,21319,100003364
CID100003365,CID000003365,3365,100003365
CID100003366,CID000003366,3366,100003366
CID100003367,CID000657237,657237,100003367
CID100003368,CID000030751,30751,100003368
CID100003370,CID000225609,225609,100003370
CID100003372,CID000003372,3372,100003372
CID100003373,CID000003373,3373,100003373
CID100003375,CID000071415,71415,100003375
CID100003379,CID000082153,82153,100003379
CID100003380,CID000003380,3380,100003380
CID100003381,CID000006215,6215,100003381
CID100003382,CID000009642,9642,100003382
CID100003384,CID000009878,9878,100003384
CID100003385,CID000003385,3385,100003385
CID100003386,CID000003386,3386,100003386
CID100003387,CID000006446,6446,100003387
CID100003388,CID000003388,3388,100003388
CID100003392,CID000015209,15209,100003392
CID100003393,CID000003393,3393,100003393
CID100003394,CID000003394,3394,100003394
CID100003397,CID000003397,3397,100003397
CID100003399,CID000444036,444036,100003399
CID100003403,CID000446155,446155,100003403
CID100003404,CID005324345,5324345,100003404
CID100003405,CID000006037,6037,100003405
CID100003406,CID000003406,3406,100003406
CID100003410,CID000003410,3410,100003410
CID100003410,CID003034756,3034756,100003410
CID100003410,CID003083544,3083544,100003410
CID100003414,CID000003414,3414,100003414
CID100003417,CID000073491,73491,100003417
CID100003419,CID000055891,55891,100003419
CID100003419,CID006708482,6708482,100003419
CID100003425,CID005352062,5352062,100003425
CID100003440,CID000003440,3440,100003440
CID100003443,CID003000226,3000226,100003443
CID100003443,CID003032525,3032525,100003443
CID100003446,CID000003446,3446,100003446
CID100003449,CID000009651,9651,100003449
CID100003454,CID000003454,3454,100003454
CID100003461,CID000060749,60749,100003461
CID100003462,CID006434870,6434870,100003462
CID100003463,CID000003463,3463,100003463
CID100003467,CID000003467,3467,100003467
CID100003475,CID000003475,3475,100003475
CID100003476,CID000003476,3476,100003476
CID100003478,CID000003478,3478,100003478
CID100003488,CID000003488,3488,100003488
CID100003494,CID000003494,3494,100003494
CID100003510,CID000003510,3510,100003510
CID100003510,CID005284566,5284566,100003510
CID100003512,CID000441140,441140,100003512
CID100003516,CID000003516,3516,100003516
CID100003517,CID000003517,3517,100003517
CID100003519,CID000003519,3519,100003519
CID100003520,CID000003520,3520,100003520
CID100003553,CID000018342,18342,100003553
CID100003553,CID000443943,443943,100003553
CID100003559,CID000003559,3559,100003559
CID100003598,CID000003598,3598,100003598
CID100003623,CID000003623,3623,100003623
CID100003623,CID005282593,5282593,100003623
CID100003636,CID000009003,9003,100003636
CID100003637,CID000003637,3637,100003637
CID100003639,CID000003639,3639,100003639
CID100003640,CID000005754,5754,100003640
CID100003642,CID000026133,26133,100003642
CID100003647,CID000003647,3647,100003647
CID100003648,CID005284570,5284570,100003648
CID100003652,CID000003652,3652,100003652
CID100003657,CID000003657,3657,100003657
CID100003658,CID000003658,3658,100003658
CID100003661,CID000003661,3661,100003661
CID100003661,CID000154417,154417,100003661
CID100003661,CID000174174,174174,100003661
CID100003672,CID000003672,3672,100003672
CID100003675,CID000003675,3675,100003675
CID100003676,CID000003676,3676,100003676
CID100003685,CID000042593,42593,100003685
CID100003685,CID000042890,42890,100003685
CID100003687,CID000005905,5905,100003687
CID100003690,CID000003690,3690,100003690
CID100003696,CID000003696,3696,100003696
CID100003702,CID000003702,3702,100003702
CID100003706,CID005362440,5362440,100003706
CID100003715,CID000003715,3715,100003715
CID100003724,CID000003724,3724,100003724
CID100003730,CID000003730,3730,100003730
CID100003734,CID000065492,65492,100003734
CID100003736,CID000003736,3736,100003736
CID100003737,CID000003737,3737,100003737
CID100003738,CID000003738,3738,100003738
CID100003739,CID000003739,3739,100003739
CID100003741,CID000003741,3741,100003741
CID100003742,CID000003742,3742,100003742
CID100003743,CID000003743,3743,100003743
CID100003746,CID000003746,3746,100003746
CID100003746,CID000043232,43232,100003746
CID100003749,CID000003749,3749,100003749
CID100003750,CID000060837,60837,100003750
CID100003759,CID000003759,3759,100003759
CID100003763,CID000003763,3763,100003763
CID100003767,CID000003767,3767,100003767
CID100003777,CID005282175,5282175,100003777
CID100003779,CID000003779,3779,100003779
CID100003780,CID000006883,6883,100003780
