old_CID,STITCH_CID,CID,pub_chem_CID
CID111304743,CID011304743,11304743,111304743
CID111499245,CID011499245,11499245,111499245
CID111501341,CID011501341,11501341,111501341
CID111505907,CID011505907,11505907,111505907
CID111519069,CID011519069,11519069,111519069
CID111531537,CID023652731,23652731,111531537
CID111556711,CID011556711,11556711,111556711
CID111593706,CID011593706,11593706,111593706
CID111597571,CID011626560,11626560,111597571
CID111597697,CID011597697,11597697,111597697
CID111672461,CID011672461,11672461,111672461
CID111707110,CID011707110,11707110,111707110
CID111722286,CID017754356,17754356,111722286
CID111947681,CID011947681,11947681,111947681
CID111949646,CID011949646,11949646,111949646
CID111979316,CID011979316,11979316,111979316
CID113559279,CID013559281,13559281,113559279
CID115951529,CID015951529,15951529,115951529
CID116004692,CID016004692,16004692,116004692
CID116065945,CID024873435,24873435,116065945
CID116126651,CID024821094,24821094,116126651
CID116129616,CID016129616,16129616,116129616
CID116129617,CID016129674,16129674,116129617
CID116129617,CID016133802,16133802,116129617
CID116129629,CID016129629,16129629,116129629
CID116129629,CID016129688,16129688,116129629
CID116129632,CID016136912,16136912,116129632
CID116129665,CID016129665,16129665,116129665
CID116129672,CID016129672,16129672,116129672
CID116129682,CID016129682,16129682,116129682
CID116129690,CID016129690,16129690,116129690
CID116129701,CID016131923,16131923,116129701
CID116129703,CID016129703,16129703,116129703
CID116129704,CID016129704,16129704,116129704
CID116130199,CID016130199,16130199,116130199
CID116130295,CID016130295,16130295,116130295
CID116130957,CID016130965,16130965,116130957
CID116131215,CID016131215,16131215,116131215
CID116131310,CID016131310,16131310,116131310
CID116132265,CID016132265,16132265,116132265
CID116132283,CID016132283,16132283,116132283
CID116132344,CID016132344,16132344,116132344
CID116132418,CID016132418,16132418,116132418
CID116132438,CID016132438,16132438,116132438
CID116132441,CID016132441,16132441,116132441
CID116132446,CID016132446,16132446,116132446
CID116134956,CID016134956,16134956,116134956
CID116136245,CID016136245,16136245,116136245
CID116137271,CID016137271,16137271,116137271
CID116139342,CID016139342,16139342,116139342
CID116139605,CID070683012,70683012,116139605
CID116156130,CID016157882,16157882,116156130
CID116158207,CID070685014,70685014,116158207
CID116158473,CID071306891,71306891,116158473
CID116213095,CID016213095,16213095,116213095
CID116220172,CID016220172,16220172,116220172
CID117754772,CID025126797,25126797,117754772
CID119371515,CID019371515,19371515,119371515
CID122834577,CID025081014,25081014,122834577
CID123668479,CID023668479,23668479,123668479
CID123689036,CID023689036,23689036,123689036
CID123690938,CID023690938,23690938,123690938
CID124762228,CID071306410,71306410,124762228
CID124776445,CID024776445,24776445,124776445
CID124812758,CID024812758,24812758,124812758
CID124822371,CID024822371,24822371,124822371
CID124822371,CID057396865,57396865,124822371
CID124826799,CID024826799,24826799,124826799
CID124838347,CID024838347,24838347,124838347
CID124846132,CID024846132,24846132,124846132
CID124950485,CID025151504,25151504,124950485
CID124965990,CID024965990,24965990,124965990
CID125074470,CID025074470,25074470,125074470
CID125074470,CID025077179,25077179,125074470
CID125074886,CID025074886,25074886,125074886
CID125074886,CID025077594,25077594,125074886
CID125077405,CID025077649,25077649,125077405
CID125077993,CID025077993,25077993,125077993
CID125094462,CID045375808,45375808,125094462
CID125102847,CID025102847,25102847,125102847
CID125880656,CID054671203,54671203,125880656
CID125880664,CID027885548,27885548,125880664
CID126275995,CID026275995,26275995,126275995
CID140468184,CID054676537,54676537,140468184
CID142611257,CID042611257,42611257,142611257
CID144134877,CID054675779,54675779,144134877
CID144146714,CID044146714,44146714,144146714
CID144201342,CID044201342,44201342,144201342
CID144201343,CID044201343,44201343,144201343
CID144462760,CID044462760,44462760,144462760
CID144564107,CID044564107,44564107,144564107
CID144564722,CID044564722,44564722,144564722
CID144567678,CID044567678,44567678,144567678
CID146181941,CID070788982,70788982,146181941
CID146216142,CID046216142,46216142,146216142
CID151508717,CID051508717,51508717,151508717
CID151601240,CID051601240,51601240,151601240
CID153477714,CID053477714,53477714,153477714
CID153627505,CID053627505,53627505,153627505
CID154677977,CID054684141,54684141,154677977
CID154681041,CID054686904,54686904,154681041
CID154682541,CID054686183,54686183,154682541
CID154687131,CID054687131,54687131,154687131
CID156603655,CID056603655,56603655,156603655
CID156842239,CID056842239,56842239,156842239
CID170683024,CID070683024,70683024,170683024
CID170695640,CID070695640,70695640,170695640
CID171306834,CID071306834,71306834,171306834
